Jugador,Posc,Equipo,Edad,Nacimiento,90 s,ACT,SCA90,PassLive,PassDead,HASTA,Dis,FR,Def,ACG,GCA90,PassLive,PassDead,HASTA,Dis,FR,Def,Partidos
Nicolás Fernández,DF,cl Chile,24,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Nahuel Ferraresi,DF,ve Venezuela,25,1998,3.0,6,2.00,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Edison Flores,"DL,CC",pe Peru,29,1994,2.1,3,1.45,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Alan Franco,CC,ec Ecuador,25,1998,3.8,4,1.05,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Partidos
Thomas Galdames,DF,cl Chile,25,1998,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Pedro Gallese,PO,pe Peru,33,1990,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
,,,,,,,,,,,,,,,,,,,,,,
Orlando Galo,CC,cr Costa Rica,23,2000,3.0,1,0.33,1,0,0,0,0,0,1,0.33,1,0,0,0,0,0,Partidos
Alejandro Garnacho,DL,ar Argentina,19,2004,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Néstor Giménez,DF,py Paraguay,26,1997,1.2,1,0.83,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Santiago Giménez,DL,mx Mexico,22,2001,2.4,6,2.49,4,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Partidos
João Gomes,CC,br Brazil,22,2001,3.6,7,1.94,4,0,0,0,2,1,1,0.28,0,0,0,0,1,0,Partidos
Freddy Góndola,CC,pa Panama,28,1995,0.5,1,2.00,1,0,0,0,0,0,1,2.00,1,0,0,0,0,0,Partidos
Alexander González,DF,ve Venezuela,31,1992,2.0,3,1.50,1,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Derlis González,CC,py Paraguay,29,1994,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Nicolás González,"CC,DL",ar Argentina,25,1998,2.8,5,2.00,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Demarai Gray,"CC,DL",jm Jamaica,27,1996,2.2,3,1.36,2,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Partidos
Joao Grimaldo,CC,pe Peru,20,2003,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Carlos Gruezo,"CC,DL",ec Ecuador,28,1995,1.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Eduardo Guerrero,DL,pa Panama,23,2000,1.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Paolo Guerrero,DL,pe Peru,40,1984,1.1,2,1.87,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Partidos
Bruno Guimarães,CC,br Brazil,26,1997,3.7,13,3.52,8,2,0,1,2,0,2,0.54,1,0,0,1,0,0,Partidos
Luis Haquín,DF,bo Bolivia,26,1997,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Wes Harding,DF,jm Jamaica,27,1996,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Carlos Harvey,DF,pa Panama,23,2000,1.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Michael Hector,DF,jm Jamaica,31,1992,1.8,1,0.57,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
