Jugador,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Cameron Carter-Vickers,DF,us United States,26,1997,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Julio Cascante,DF,cr Costa Rica,30,1993,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Cristian Cásseres Jr.,CC,ve Venezuela,24,2000,3,2,149,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,4,4,4,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Partidos
Kevin Castaño,CC,co Colombia,23,2000,4,0,81,0.9,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,0,6,3,0.00,0.00,0.00,0.00,0.00,0.23,0.48,0.72,0.23,0.72,Partidos
Jesús Castillo,CC,pe Peru,22,2001,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Partidos
Renaldo Cephas,"CC,DF",jm Jamaica,24,1999,3,1,59,0.7,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,2,0,3,0.00,0.00,0.00,0.00,0.00,0.53,0.00,0.53,0.53,0.53,Partidos
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boris Cespedes,CC,bo Bolivia,28,1995,2,2,152,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Lucas Chávez,"DL,CC",bo Bolivia,20,2003,2,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Luis Chávez,CC,mx Mexico,28,1996,3,3,257,2.9,0,0,0,0,0,0,1,0,0.4,0.4,0.8,1.3,5,10,15,0.00,0.00,0.00,0.00,0.00,0.14,0.30,0.44,0.14,0.44,Partidos
