Jugador,Posc,Equipo,Edad,Nacimiento,90 s,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,Partidos
Maxime Crépeau,PO,ca Canada,29,1994,5.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Andrés Cubas,CC,py Paraguay,27,1996,1.9,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Héctor Cuellar,DF,bo Bolivia,23,2000,2.5,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Jaume Cuéllar,DL,bo Bolivia,22,2001,0.2,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Carlos Cuesta,DF,co Colombia,24,1999,5.3,0,3,1,33.3,0.56,0.19,0.00,0.00,9.2,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Partidos
Christian Cueva,"CC,DL",pe Peru,32,1991,0.3,0,1,1,100.0,3.46,3.46,0.00,0.00,15.3,0,0,0,0.2,0.2,0.24,-0.2,-0.2,Partidos
Danilo,DF,br Brazil,32,1991,4.0,0,1,0,0.0,0.25,0.00,0.00,0,9.5,0,0,0,0.0,0.0,0.05,0.0,0.0,Partidos
Jonathan David,"CC,DL",ca Canada,24,2000,5.0,2,8,3,37.5,1.61,0.61,0.25,0.67,17.6,0,0,0,1.6,1.6,0.20,+0.4,+0.4,Partidos
Alphonso Davies,DF,ca Canada,23,2000,5.1,0,6,0,0.0,1.18,0.00,0.00,0,21.7,2,0,0,0.4,0.4,0.06,-0.4,-0.4,Partidos
Víctor Dávila,DL,cl Chile,26,1997,2.6,0,5,0,0.0,1.96,0.00,0.00,0,16.5,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Partidos
Erick Davis,DF,pa Panama,32,1991,3.9,0,1,0,0.0,0.26,0.00,0.00,0,30.8,1,0,0,0.0,0.0,0.04,0.0,0.0,Partidos
Giorgian De Arrascaeta,"CC,DL",uy Uruguay,29,1994,1.8,0,2,1,50.0,1.10,0.55,0.00,0.00,16.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Partidos
Luc De Fougerolles,DF,ca Canada,18,2005,0.7,0,1,0,0.0,1.36,0.00,0.00,0,9.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Partidos
Nicolás De La Cruz,CC,uy Uruguay,26,1997,3.9,0,5,2,40.0,1.28,0.51,0.00,0.00,25.4,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Partidos
,,,,,,,,,,,,,,,,,,,,,,,
Rodrigo De Paul,CC,ar Argentina,29,1994,5.3,0,4,0,0.0,0.75,0.00,0.00,0,27.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Partidos
Ángel Di María,"CC,DL",ar Argentina,35,1988,3.9,0,6,4,66.7,1.53,1.02,0.00,0.00,19.7,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Partidos
Ismael Díaz,CC,pa Panama,26,1997,0.1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Luis Díaz,DL,co Colombia,27,1997,5.6,2,8,4,50.0,1.42,0.71,0.13,0.25,18.5,0,1,1,1.6,0.8,0.10,+0.4,+0.2,Partidos
Paulo Díaz,DF,cl Chile,29,1994,2.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Kaheim Dixon,"CC,DL",jm Jamaica,19,2004,0.7,0,2,1,50.0,2.81,1.41,0.00,0.00,18.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Partidos
